,country,subsection,energy_union_dimension,text_path
228,Lithuania,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Lithuania_Policies and Measures_Energy efficiency.txt
229,Lithuania,Policies and Measures,Energy security,/necp_reports/txt_files/Lithuania_Policies and Measures_Energy security.txt
230,Lithuania,Policies and Measures,Internal market,/necp_reports/txt_files/Lithuania_Policies and Measures_Internal market.txt
231,Lithuania,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Lithuania_Policies and Measures_R&I and Competitiveness.txt
232,Lithuania,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Lithuania_Current Situation and Reference Projections_Decarbonisation.txt
233,Lithuania,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Lithuania_Current Situation and Reference Projections_Energy efficiency.txt
234,Lithuania,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Lithuania_Current Situation and Reference Projections_Energy security.txt
235,Lithuania,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Lithuania_Current Situation and Reference Projections_Internal market.txt
236,Lithuania,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Lithuania_Current Situation and Reference Projections_R&I and Competitiveness.txt
237,Lithuania,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Lithuania_Impact Assessment of Planned Policies and Measures_nan.txt
238,Latvia,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Latvia_Overview and Process for Establishing the Plan_nan.txt
239,Latvia,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Latvia_National Objectives and Targets_Decarbonisation.txt
240,Latvia,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Latvia_National Objectives and Targets_Energy efficiency.txt
241,Latvia,National Objectives and Targets,Energy security,/necp_reports/txt_files/Latvia_National Objectives and Targets_Energy security.txt
242,Latvia,National Objectives and Targets,Internal market,/necp_reports/txt_files/Latvia_National Objectives and Targets_Internal market.txt
243,Latvia,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Latvia_National Objectives and Targets_R&I and Competitiveness.txt
245,Latvia,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Latvia_Policies and Measures_Energy efficiency.txt
246,Latvia,Policies and Measures,Energy security,/necp_reports/txt_files/Latvia_Policies and Measures_Energy security.txt
247,Latvia,Policies and Measures,Internal market,/necp_reports/txt_files/Latvia_Policies and Measures_Internal market.txt
248,Latvia,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Latvia_Policies and Measures_R&I and Competitiveness.txt
249,Latvia,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Latvia_Current Situation and Reference Projections_Decarbonisation.txt
250,Latvia,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Latvia_Current Situation and Reference Projections_Energy efficiency.txt
251,Latvia,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Latvia_Current Situation and Reference Projections_Energy security.txt
252,Latvia,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Latvia_Current Situation and Reference Projections_Internal market.txt
253,Latvia,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Latvia_Current Situation and Reference Projections_R&I and Competitiveness.txt
254,Latvia,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Latvia_Impact Assessment of Planned Policies and Measures_nan.txt
255,Italy,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Italy_Overview and Process for Establishing the Plan_nan.txt
256,Italy,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Italy_National Objectives and Targets_Decarbonisation.txt
257,Italy,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Italy_National Objectives and Targets_Energy efficiency.txt
258,Italy,National Objectives and Targets,Energy security,/necp_reports/txt_files/Italy_National Objectives and Targets_Energy security.txt
259,Italy,National Objectives and Targets,Internal market,/necp_reports/txt_files/Italy_National Objectives and Targets_Internal market.txt
260,Italy,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Italy_National Objectives and Targets_R&I and Competitiveness.txt
261,Italy,Policies and Measures,Decarbonisation,/necp_reports/txt_files/Italy_Policies and Measures_Decarbonisation.txt
262,Italy,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Italy_Policies and Measures_Energy efficiency.txt
263,Italy,Policies and Measures,Energy security,/necp_reports/txt_files/Italy_Policies and Measures_Energy security.txt
264,Italy,Policies and Measures,Internal market,/necp_reports/txt_files/Italy_Policies and Measures_Internal market.txt
265,Italy,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Italy_Policies and Measures_R&I and Competitiveness.txt
266,Italy,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Italy_Current Situation and Reference Projections_Decarbonisation.txt
267,Italy,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Italy_Current Situation and Reference Projections_Energy efficiency.txt
268,Italy,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Italy_Current Situation and Reference Projections_Energy security.txt
269,Italy,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Italy_Current Situation and Reference Projections_Internal market.txt
270,Italy,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Italy_Current Situation and Reference Projections_R&I and Competitiveness.txt
271,Italy,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Italy_Impact Assessment of Planned Policies and Measures_nan.txt
272,Ireland,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Ireland_Overview and Process for Establishing the Plan_nan.txt
273,Ireland,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Ireland_National Objectives and Targets_Decarbonisation.txt
274,Ireland,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Ireland_National Objectives and Targets_Energy efficiency.txt
275,Ireland,National Objectives and Targets,Energy security,/necp_reports/txt_files/Ireland_National Objectives and Targets_Energy security.txt
276,Ireland,National Objectives and Targets,Internal market,/necp_reports/txt_files/Ireland_National Objectives and Targets_Internal market.txt
277,Ireland,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Ireland_National Objectives and Targets_R&I and Competitiveness.txt
278,Ireland,Policies and Measures,Decarbonisation,/necp_reports/txt_files/Ireland_Policies and Measures_Decarbonisation.txt
279,Ireland,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Ireland_Policies and Measures_Energy efficiency.txt
280,Ireland,Policies and Measures,Energy security,/necp_reports/txt_files/Ireland_Policies and Measures_Energy security.txt
281,Ireland,Policies and Measures,Internal market,/necp_reports/txt_files/Ireland_Policies and Measures_Internal market.txt
282,Ireland,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Ireland_Policies and Measures_R&I and Competitiveness.txt
283,Ireland,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Ireland_Current Situation and Reference Projections_Decarbonisation.txt
284,Ireland,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Ireland_Current Situation and Reference Projections_Energy efficiency.txt
285,Ireland,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Ireland_Current Situation and Reference Projections_Energy security.txt
286,Ireland,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Ireland_Current Situation and Reference Projections_Internal market.txt
287,Ireland,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Ireland_Current Situation and Reference Projections_R&I and Competitiveness.txt
288,Ireland,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Ireland_Impact Assessment of Planned Policies and Measures_nan.txt
289,Hungary,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Hungary_Overview and Process for Establishing the Plan_nan.txt
290,Hungary,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Hungary_National Objectives and Targets_Decarbonisation.txt
291,Hungary,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Hungary_National Objectives and Targets_Energy efficiency.txt
292,Hungary,National Objectives and Targets,Energy security,/necp_reports/txt_files/Hungary_National Objectives and Targets_Energy security.txt
293,Hungary,National Objectives and Targets,Internal market,/necp_reports/txt_files/Hungary_National Objectives and Targets_Internal market.txt
294,Hungary,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Hungary_National Objectives and Targets_R&I and Competitiveness.txt
295,Hungary,Policies and Measures,Decarbonisation,/necp_reports/txt_files/Hungary_Policies and Measures_Decarbonisation.txt
296,Hungary,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Hungary_Policies and Measures_Energy efficiency.txt
297,Hungary,Policies and Measures,Energy security,/necp_reports/txt_files/Hungary_Policies and Measures_Energy security.txt
298,Hungary,Policies and Measures,Internal market,/necp_reports/txt_files/Hungary_Policies and Measures_Internal market.txt
299,Hungary,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Hungary_Policies and Measures_R&I and Competitiveness.txt
300,Hungary,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Hungary_Current Situation and Reference Projections_Decarbonisation.txt
301,Hungary,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Hungary_Current Situation and Reference Projections_Energy efficiency.txt
302,Hungary,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Hungary_Current Situation and Reference Projections_Energy security.txt
303,Hungary,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Hungary_Current Situation and Reference Projections_Internal market.txt
304,Hungary,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Hungary_Current Situation and Reference Projections_R&I and Competitiveness.txt
305,Hungary,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Hungary_Impact Assessment of Planned Policies and Measures_nan.txt
306,Greece,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Greece_Overview and Process for Establishing the Plan_nan.txt
307,Greece,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Greece_National Objectives and Targets_Decarbonisation.txt
308,Greece,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Greece_National Objectives and Targets_Energy efficiency.txt
309,Greece,National Objectives and Targets,Energy security,/necp_reports/txt_files/Greece_National Objectives and Targets_Energy security.txt
310,Greece,National Objectives and Targets,Internal market,/necp_reports/txt_files/Greece_National Objectives and Targets_Internal market.txt
311,Greece,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Greece_National Objectives and Targets_R&I and Competitiveness.txt
312,Greece,Policies and Measures,Decarbonisation,/necp_reports/txt_files/Greece_Policies and Measures_Decarbonisation.txt
313,Greece,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Greece_Policies and Measures_Energy efficiency.txt
314,Greece,Policies and Measures,Energy security,/necp_reports/txt_files/Greece_Policies and Measures_Energy security.txt
315,Greece,Policies and Measures,Internal market,/necp_reports/txt_files/Greece_Policies and Measures_Internal market.txt
316,Greece,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Greece_Policies and Measures_R&I and Competitiveness.txt
322,Greece,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Greece_Impact Assessment of Planned Policies and Measures_nan.txt
323,Spain,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Spain_Overview and Process for Establishing the Plan_nan.txt
324,Spain,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Spain_National Objectives and Targets_Decarbonisation.txt
325,Spain,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Spain_National Objectives and Targets_Energy efficiency.txt
326,Spain,National Objectives and Targets,Energy security,/necp_reports/txt_files/Spain_National Objectives and Targets_Energy security.txt
327,Spain,National Objectives and Targets,Internal market,/necp_reports/txt_files/Spain_National Objectives and Targets_Internal market.txt
328,Spain,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Spain_National Objectives and Targets_R&I and Competitiveness.txt
329,Spain,Policies and Measures,Decarbonisation,/necp_reports/txt_files/Spain_Policies and Measures_Decarbonisation.txt
330,Spain,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Spain_Policies and Measures_Energy efficiency.txt
331,Spain,Policies and Measures,Energy security,/necp_reports/txt_files/Spain_Policies and Measures_Energy security.txt
332,Spain,Policies and Measures,Internal market,/necp_reports/txt_files/Spain_Policies and Measures_Internal market.txt
333,Spain,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Spain_Policies and Measures_R&I and Competitiveness.txt
334,Spain,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Spain_Impact Assessment of Planned Policies and Measures_nan.txt
335,Spain,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Spain_Current Situation and Reference Projections_Decarbonisation.txt
336,Spain,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Spain_Current Situation and Reference Projections_Energy efficiency.txt
337,Spain,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Spain_Current Situation and Reference Projections_Energy security.txt
338,Spain,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Spain_Current Situation and Reference Projections_Internal market.txt
339,Spain,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Spain_Current Situation and Reference Projections_R&I and Competitiveness.txt
340,Netherlands,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Netherlands_Overview and Process for Establishing the Plan_nan.txt
341,Netherlands,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Netherlands_National Objectives and Targets_Decarbonisation.txt
342,Netherlands,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Netherlands_National Objectives and Targets_Energy efficiency.txt
343,Netherlands,National Objectives and Targets,Energy security,/necp_reports/txt_files/Netherlands_National Objectives and Targets_Energy security.txt
344,Netherlands,National Objectives and Targets,Internal market,/necp_reports/txt_files/Netherlands_National Objectives and Targets_Internal market.txt
345,Netherlands,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Netherlands_National Objectives and Targets_R&I and Competitiveness.txt
346,Netherlands,Policies and Measures,Decarbonisation,/necp_reports/txt_files/Netherlands_Policies and Measures_Decarbonisation.txt
347,Netherlands,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Netherlands_Policies and Measures_Energy efficiency.txt
348,Netherlands,Policies and Measures,Energy security,/necp_reports/txt_files/Netherlands_Policies and Measures_Energy security.txt
349,Netherlands,Policies and Measures,Internal market,/necp_reports/txt_files/Netherlands_Policies and Measures_Internal market.txt
350,Netherlands,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Netherlands_Policies and Measures_R&I and Competitiveness.txt
351,Netherlands,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Netherlands_Current Situation and Reference Projections_Decarbonisation.txt
352,Netherlands,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Netherlands_Current Situation and Reference Projections_Energy efficiency.txt
353,Netherlands,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Netherlands_Current Situation and Reference Projections_Energy security.txt
354,Netherlands,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Netherlands_Current Situation and Reference Projections_Internal market.txt
355,Netherlands,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Netherlands_Current Situation and Reference Projections_R&I and Competitiveness.txt
356,Netherlands,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Netherlands_Impact Assessment of Planned Policies and Measures_nan.txt
357,Poland,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Poland_Overview and Process for Establishing the Plan_nan.txt
358,Poland,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Poland_National Objectives and Targets_Decarbonisation.txt
359,Poland,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Poland_National Objectives and Targets_Energy efficiency.txt
